순위,제목,저자,가격
50,해커스 GSAT 삼성직무적성검사 Final 봉투모의고사 4회분,해커스 취업교육연구소 ·  챔프스터디   · 2022.08.11 출시,13,410원
51,2022 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화,최태성 ·  이투스북   · 2022.07.15 출시,17,550원
52,하버드대생 공부법은 당신과 다르다,류쉬안 외 ·  다연   · 2022.09.09 출시,15,300원
53,해커스 토익 기출보카 TOEIC VOCA(토익보카) 단어장,David Cho ·  해커스어학연구소   · 2022.03.14 출시,11,610원
54,ETS 토익 정기시험 기출문제집 1000 Vol 3 LISTENING(리스닝),ETS ·  YBM   · 2021.12.13 출시,16,020원
55,세상이 궁금해서 일찍 나왔니?,이철 ·  예미   · 2022.10.20 출시,14,400원
56,헤어질 결심 스토리보드북,박찬욱 (감독) 외 ·  을유문화사   · 2022.10.20 출시,29,700원
57,부의 추월차선(10주년 스페셜 에디션),엠제이 드마코 외 ·  토트   · 2022.02.04 출시,15,750원
58,ETS 토익 정기시험 기출문제집 1000 Vol 3 READING(리딩),ETS ·  YBM   · 2021.12.13 출시,16,020원
59,나는 당신이 행복했으면 좋겠습니다,박찬위 ·  하이스트   · 2021.11.25 출시,12,420원
60,최소한의 이웃,허지웅 ·  김영사   · 2022.08.22 출시,14,220원
61,기분을 관리하면 인생이 관리된다,김다슬 ·  클라우디아   · 2022.04.12 출시,15,840원
62,2022 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1? 2? 3급)(상),최태성 ·  이투스북   · 2021.12.09 출시,13,500원
63,EBS 만점마무리 봉투모의고사 국어영역 3회분(2022)(2023 수능대비),EBS교육방송 편집부 ·  EBS한국교육방송공사   · 2022.07.10 출시,7,650원
64,심리학이 조조에게 말하다 1,천위안 외 ·  리드리드출판   · 2022.11.10 출시,16,020원
65,엉뚱소심 유령 탐정단 1: 도서관 유령 소동,도리 힐레스타드 버틀러 외 ·  한빛에듀   · 2022.10.14 출시,11,700원
66,2022 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1? 2? 3급)(하),최태성 ·  이투스북   · 2021.12.09 출시,13,050원
67,EBS 만점마무리 봉투모의고사 영어영역 3회분(2022)(2023 수능대비),EBS교육방송 편집부 ·  EBS한국교육방송공사   · 2022.07.10 출시,7,200원
68,타이탄의 도구들(블랙 에디션),팀 페리스 외 ·  토네이도   · 2022.06.20 출시,16,200원
